Movie Name,Address,Rating,Year,Date,Closed Captioning,Zip,Park Name
Space Jam,"4417, South Marshfield Avenue, Back of the Yards, New City, Chicago, Lake Township, Cook County, Illinois, 60609, United States",PG,2018,2018-09-12,Y,0,Davis Square Park
Moana,"Melville Fuller, West 45th Street, Fuller Park, Chicago, Lake Township, Cook County, Illinois, 60609, United States",PG,2018,2018-07-31,Y,0,Fuller Park
The Boss Baby,"31, East 95th Street, Roseland Heights, Roseland, Chicago, Hyde Park Township, Cook County, Illinois, 60628, United States",PG,2018,2018-08-04,Y,0,Abbott Park
Spider-Man: Homecoming,"Clark Park Fieldhouse, 4615, West Jackson Boulevard, Mandell, Austin, Chicago, West Chicago Township, Cook County, Illinois, 60644, United States",PG-13,2018,2018-08-17,Y,0,Clark (John) Park
Leap,"2750, South Sacramento Avenue, South Lawndale, Chicago, West Chicago Township, Cook County, Illinois, 60623, United States",PG,2018,2018-07-06,Y,0,La Villita Park
Jumanji: Welcome to the Jungle,"Oriole Park Fieldhouse, 5430, North Olcott Avenue, Norwood Park, Chicago, Jefferson Township, Cook County, Illinois, 60656, United States",PG-13,2018,2018-06-29,Y,0,Oriole Park
Jumanji: Welcome to the Jungle,"Park No. 578, 1919, West Haven, Near West Side, Chicago, West Chicago Township, Cook County, Illinois, 60612, United States",PG-13,2018,2018-07-17,Y,0,Park No. 578
Justice League,"Sherwood Park Fieldhouse, 5701, South Shields Avenue, Englewood, Chicago, Lake Township, Cook County, Illinois, 60621, United States",PG-13,2018,2018-06-19,Y,0,Sherwood Park
Coco,"4263, West Foster Avenue, North Park, Chicago, Jefferson Township, Cook County, Illinois, 60630, United States",PG,2018,2018-07-27,Y,0,Gompers Park
Coco,"2719, North Avers Avenue, Kosciuszko Park, Chicago, Jefferson Township, Cook County, Illinois, 60641, United States",PG,2018,2018-08-25,Y,0,Kosciuszko Park
The Notebook,"The Spoke & Bird, 205, East 18th Street, Near South Side, Chicago, South Chicago Township, Cook County, Illinois, 60616, United States",PG-13,2018,2018-06-30,Y,0,Chicago Women's Park and Gardens
Wonder Woman,"Sherwood Park Fieldhouse, 5701, South Shields Avenue, Englewood, Chicago, Lake Township, Cook County, Illinois, 60621, United States",PG-13,2018,2018-07-14,Y,0,Sherwood Park
Jumanji: Welcome to the Jungle,"9359, South Greenwood Avenue, Burnside, Chicago, Hyde Park Township, Cook County, Illinois, 60619, United States",PG-13,2018,2018-08-09,Y,0,Burnside Park
Sister Act,"Wicker Park Fieldhouse, 1425, North Damen Avenue, Wicker Park, West Town, Chicago, West Chicago Township, Cook County, Illinois, 60622, United States",PG,2018,2018-07-19,Y,0,Wicker Park
The Emoji Movie,"7632, South Ingleside Avenue, Grand Crossing, Greater Grand Crossing, Chicago, Hyde Park Township, Cook County, Illinois, 60619, United States",PG,2018,2018-06-23,Y,0,Grand Crossing Park
Tyler Perry's Boo,"Amundsen Park Fieldhouse, 6200, West Bloomingdale Avenue, Beat 2513, Austin, Chicago, Jefferson Township, Cook County, Illinois, 60639, United States",PG-13,2018,2018-07-20,Y,0,Amundsen Park
Black Panther,"8913, South Muskegon Avenue, South Chicago, Chicago, Hyde Park Township, Cook County, Illinois, 60617, United States",PG-13,2018,2018-08-17,Y,0,Bessemer Park
Coco,"Veterans Memorial Park Fieldhouse, 2820, East 98th Street, Vet's Park, South Deering, Chicago, Hyde Park Township, Cook County, Illinois, 60617, United States",PG,2018,2018-08-10,Y,0,Veteran's Memorial Park
Coco,"North Larrabee Street, Mid-North District, Lincoln Park, Chicago, North Chicago Township, Cook County, Illinois, 60614, United States",PG,2018,2018-07-14,Y,0,Oz Park
Lean On Me,"Damen & 61st Street, South Damen Avenue, South Lynn, West Englewood, Chicago, Lake Township, Cook County, Illinois, 60636, United States",PG-13,2018,2018-07-20,Y,0,Lindblom Park
Jumanji: Welcome to the Jungle,"2212, West Argyle Street, Ravenswood, Lincoln Square, Chicago, Lake View Township, Cook County, Illinois, 60625, United States",PG-13,2018,2018-08-11,Y,0,Winnemac Park
The King and the Mockingbird (L Roi et L'Oiseau),"2212, West Argyle Street, Ravenswood, Lincoln Square, Chicago, Lake View Township, Cook County, Illinois, 60625, United States",NR,2018,2018-09-07,Y,0,Winnemac Park
Sense and Sensibility,"The Spoke & Bird, 205, East 18th Street, Near South Side, Chicago, South Chicago Township, Cook County, Illinois, 60616, United States",PG,2018,2018-07-29,Y,0,Chicago Women's Park and Gardens
The Chorus (Les Choristes),"1119, West Cullerton Street, Pilsen, Lower West Side, Chicago, West Chicago Township, Cook County, Illinois, 60608, United States",PG-13,2018,2018-07-29,Y,0,Dvorak Park
Bee Movie,"6729, North Sacramento Avenue, Little India, West Ridge, Chicago, Rogers Park Township, Cook County, Illinois, 60645, United States",PG,2019,2019-07-08,Y,0,Chippewa Park
Coco,"5215, West 64th Street, Clearing, Chicago, Lake Township, Cook County, Illinois, 60638, United States",PG,2019,2019-08-06,Y,0,Lawler Park
The Wizard of Oz,"9801, South Avenue G, East Side, Chicago, Hyde Park Township, Cook County, Illinois, 60617, United States",G,2019,2019-07-08,Y,0,Calumet Park
Black Panther,"1817, South Wood Street, Lower West Side, Chicago, West Chicago Township, Cook County, Illinois, 60608, United States",PG-13,2019,2019-08-01,Y,0,Harrison Park
Black Panther,"7204, South Dobson Avenue, Pocket Town, Greater Grand Crossing, Chicago, Hyde Park Township, Cook County, Illinois, 60619, United States",PG-13,2019,2019-07-18,Y,0,Hoard Playground Park
Some Like It Hot,"6200, North Sheridan Road, Edgewater Beach, Edgewater, Chicago, Lake View Township, Cook County, Illinois, 60660, United States",NR,2019,2019-06-07,Y,0,Berger Park Cultural Center
Big Hero 6,"Whitney M. Young Magnet High School, 211, South Laflin Street, Near West Side, Chicago, West Chicago Township, Cook County, Illinois, 60607, United States",PG,2019,2019-07-13,Y,0,Skinner Park
Hotel Transylvania 3,"North Francisco Avenue, West Ravenswood, Lincoln Square, Chicago, Jefferson Township, Cook County, Illinois, 60659, United States",PG,2019,2019-08-12,Y,0,River Park
El Reality,"3456, North Kilbourn Avenue, Kilbourn Park, Irving Park, Chicago, Jefferson Township, Cook County, Illinois, 60641, United States",NR,2019,2019-07-24,Y,0,Kilbourn Park
Black Panther,"3, West Randolph Street, Near West Side, Chicago, West Chicago Township, Cook County, Illinois, 60607, United States",PG-13,2019,2019-06-12,Y,0,Union Park
The Rainmaker,"Wicker Park Fieldhouse, 1425, North Damen Avenue, Wicker Park, West Town, Chicago, West Chicago Township, Cook County, Illinois, 60622, United States",PG-13,2019,2019-07-25,Y,0,Wicker Park
The Star,"Shedd Park Fieldhouse, 3650, West 23rd Street, Little Village, South Lawndale, Chicago, West Chicago Township, Cook County, Illinois, 60623, United States",PG,2019,2019-08-23,Y,0,Shedd Park
